school_name,district_name,year,grad_rate,cohort_size,sat_total,sat_math,sat_reading,sat_writing,school_grade,grade_score,mobility_rate,mobility_count,discipline_percent,hope_eligible_count,hope_eligible_percent
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.5504,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.2268,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.136,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.3406,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.522000000000006,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.4654,175.0,58.72
ADAIRSVILLE HIGH SCHOOL,Bartow County,2023-24,97.6,285.0,1062.9,501.7,284.7,276.4,,,1.8,1206.0,50.99680000000001,175.0,58.72
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.0212,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.2016,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.178,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.1188,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.2208,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.6876,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.2244,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,49.9408,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.156,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.047,218.0,58.13
CASS HIGH SCHOOL,Bartow County,2023-24,93.57,364.0,1043.3,499.7,275.2,268.3,,,4.800000000000001,1570.0,50.33840000000001,218.0,58.13
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.7876,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.7876,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.74080000000001,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.74080000000001,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.854,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,49.854,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.4186,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.4186,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.726,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.726,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.5586,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.5586,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.477,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.477,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.38,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.38,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1976,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1976,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.42,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.42,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.477,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.477,130.0,41.67
